portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
"Por que vocês, maíras e perós, quer dizer, franceses e portugueses, vêm de tão longe procurar madeira para se aquecerem?","""Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?""","""Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?""","""Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?"""
Santa Maria é o seu nome,"""Santa Maria"" sera","""Santa Maria"" sera","""Santa Maria"" sera"
"""Que se enfraqueça, que amoleça""","""T'onhemomembek, t'onhemoapapu""","""T'onhemomembek, t'onhemoapapu""","""T'onhemomembek, t'onhemoapapu"""
Hei de ser bom,"""Xe katupe ká""","""Xe katupe ká""",Xe katupe ká
"""Ah, coitadinho de mim"" é o que é ouvido aí","""Xe poreaûsubeté'ĩ mã!"" sendubypyramo a'epe","""Xe poreaûsubeté'ĩ mã!"" sendubypyramo a'epe","""Xe poreaûsubeté'ĩ mã!"" sendubypyramo a'epe"
por,"(= através de): upi (r, s); (= por causa de): suí;",(pron recipr):,"(= através de): upi (r, s); (= por causa de): suí;"
já,(= logo): ra'a; (rei ao passado): umã jabuticaba,ikó / ekó (t) ,(= logo): ra'a; (rei ao passado): umã jabuticaba
quê?,(= que coisa?): mba'epe?; marãpe?; (referindo,(= que coisa?): mba'epe?; marãpe?; (referindo,(= que coisa?): mba'epe?; marãpe?; (referindo
estrada,"(a)pé (r, s)","(a)pé (r, s)","(a)pé (r, s)"
dedo,(da mão): pfiã (m); (do pé): pysã (m); (dedo indicador): pobe'engaba (m),akuia,(da mão): pfiã (m); (do pé): pysã (m); (dedo indicador): pobe'engaba (m)
como,(de comparação): iá; iabé; (= na condi ção de):,(de comparação): iá; iabé; (= na condi ção de):,(de comparação): iá; iabé; (= na condi ção de):
sim,(de h e m): ee; (de b): pá,(rel a lugar):,(de h e m): ee; (de b): pá
sogra,(de h): taixó; (de m): mendy sogro,yba,(de h): taixó; (de m): mendy sogro
nora,(de h): ta'yraty; (de m): membyraty nós,(de h): ta'yraty; (de m): membyraty nós,(de h): ta'yraty; (de m): membyraty nós
neto (a),(de h): temiminõ; (de m): tembiarirõ névoa,iagílara; iagílareté,(de h): temiminõ; (de m): tembiarirõ névoa
prima,(de h): tendyra; (de rn): tykera (quan do mais velha); pyky'yra (quando mais moça) primeiro,pe,(de h): tendyra; (de rn): tykera (quan do mais velha); pyky'yra (quando mais moça) primeiro
órfão,(de mãe): sye'yma; (de pai): tube'yma orgulho,pitangĩ,(de mãe): sye'yma; (de pai): tube'yma orgulho
espinha,(de peixe): kanga; (da pele): kuruba espinho,tygé,(de peixe): kanga; (da pele): kuruba espinho
tocar' (instrumento),(de sopro): py (,mimby,(de sopro): py (
luz,"(do dia): 'ara; (luz de fogo, das estrelas etc): tendy",yby'iaba; sykaba,"(do dia): 'ara; (luz de fogo, das estrelas etc): tendy"
plantação,"(e)mityma (r, s); mityma plantar",kambu,"(e)mityma (r, s); mityma plantar"
mentira,"(e)mo'ema (r, s)","(e)mo'ema (r, s)","(e)mo'ema (r, s)"
prato,"(e)nha'e (r, s)","(e)nha'e (r, s)","(e)nha'e (r, s)"
fezes,"(e)poti (r, s)",marãmotara; iurupari; tagílafüa demoradamente,"(e)poti (r, s)"
índio,(em oposição ao africano ou ao branco europeu): abá; (índio livre; índio da mata): apyaba,(em oposição ao africano ou ao branco europeu): abá; (índio livre; índio da mata): apyaba,(em oposição ao africano ou ao branco europeu): abá; (índio livre; índio da mata): apyaba
terra,"(em seu aspecto físico, natural): yby; (no sentido de pátria): tetama","(em seu aspecto físico, natural): yby; (no sentido de pátria): tetama","(em seu aspecto físico, natural): yby; (no sentido de pátria): tetama"
vasilha,"(ep)uru (r, s); uru (r, s)",aîpi 'y,"(ep)uru (r, s); uru (r, s)"
redondo,(esférico): apu'a; (circular): amandab/a; ap)'Va,amỹîa,(esférico): apu'a; (circular): amandab/a; ap)'Va
maduro,(fal de fruto): 'aiub/a; apaié; 'apub/a mãe,ipó,(fal de fruto): 'aiub/a; apaié; 'apub/a mãe
sobrinho,"(filho do irmão ou primo de h): ta'yra, tyky'yra' (quando mais velho); (filho do irmão ou primo de m): penga (m); (filho da irmã ou prima de m): i'yra",(de h): pyky'yra (m); (de m): tykera (m),"(filho do irmão ou primo de h): ta'yra, tyky'yra' (quando mais velho); (filho do irmão ou primo de m): penga (m); (filho da irmã ou prima de m): i'yra"
sobrinha,(fillia do irmão ou primo de h): taíyra; (filha da irmã ou prima de h): ietype ra; (filha do irmão ou primo de m): penga (m); (filha da irmã ou prima da m): tykera (quando mais velha); piky'yra (quando mais moça),(de h): i'yra; (de m): tykera (quan do mais velha); (de m): tykera (quando mais moça),(fillia do irmão ou primo de h): taíyra; (filha da irmã ou prima de h): ietype ra; (filha do irmão ou primo de m): penga (m); (filha da irmã ou prima da m): tykera (quando mais velha); piky'yra (quando mais moça)
virar,(intr): bak; nhemoiereb; (tr): pobur; moiereb # fazer virar consigo; virar com: erobak,Aîapengok,(intr): bak; nhemoiereb; (tr): pobur; moiereb # fazer virar consigo; virar com: erobak
rachar,(intr): bok; (tr): mobok,koty,(intr): bok; (tr): mobok
entornar,(intr): é; (tr): en (,Aîapapûar,(intr): é; (tr): en (
continuar,(intr): iepotabê; (tr): moiepotabê continuidade,Îandé moatãmo,(intr): iepotabê; (tr): moiepotabê continuidade
retribuir,(intr): iepyme'eng; (tr): poepyk reunir,me'eng,(intr): iepyme'eng; (tr): poepyk reunir
girar,(intr): iereb; iatirnan; (tr): moiereb goela,Aîapengok,(intr): iereb; iatirnan; (tr): moiereb goela
passar,(intr): kftab; (tr): asab (s),moabrub,(intr): kftab; (tr): asab (s)
roçar,(intr): kopir; (tr): giiyrok,andub,(intr): kopir; (tr): giiyrok
velar,(intr): ma'enan; kerarõ; (tr): arõ (s) velha,tesaetá,(intr): ma'enan; kerarõ; (tr): arõ (s) velha
enfraquecer,(intr): membek; tumbek; (tr): moatãe'ym; mopopyatambab,(intr): nheran; nhemobabak; (tr,(intr): membek; tumbek; (tr): moatãe'ym; mopopyatambab
mergulhar,(intr): nheapumi; nhepumi; (tr): pumi; 'apiramõ,(tr): moiepé; (intr): nhemomemúiepé,(intr): nheapumi; nhepumi; (tr): pumi; 'apiramõ
engordar,(intr): nhemongyrá; (tr): mongyrá engrandecer (= tornar grande),morypaba (v mboryb),(intr): nhemongyrá; (tr): mongyrá engrandecer (= tornar grande)
escurecer,(intr): nhemopytun; (tr): mo pytun,anga,(intr): nhemopytun; (tr): mo pytun
resistir,(intr): nheran; nhemobabak; (tr,a'ang (s),(intr): nheran; nhemobabak; (tr
murchar,(intr): nhynhyng; (tr): monhy nhyng,ambyasy,(intr): nhynhyng; (tr): monhy nhyng
despertar,(intr): pak; (tr): mombak despido,(variedades): anakã; tu'i; tu'ityryka etc,(intr): pak; (tr): mombak despido
desembarcar,(intr): pear; (tr): enosem desenhar,nhã; anhã2,(intr): pear; (tr): enosem desenhar
fender,(intr): puk; (tr): mobok,apek (s),(intr): puk; (tr): mobok
estremecer,(intr): syi; tumung; tytyk; (tr): mondyi; mopiring; motumung,monhyrõ,(intr): syi; tumung; tytyk; (tr): mondyi; mopiring; motumung
transbordar,(intr): tui; (tr): mondui transformar,esemõ (s); mopor,(intr): tui; (tr): mondui transformar
viúvo (a) ,"(m): mene'õ; (h): emirekoe'õ (r, s)","(m): mene'õ; (h): emirekoe'õ (r, s)","(m): mene'õ; (h): emirekoe'õ (r, s)"
irmã,(mais nova de m): pyky'yra (m); (mais velha de m): tykera; (de h): tendyra irmão,xe reindy,(mais nova de m): pyky'yra (m); (mais velha de m): tykera; (de h): tendyra irmão
tio,(materno): tutyra; (paterno): tuba1 tipoia,atuá,(materno): tutyra; (paterno): tuba1 tipoia
tia,(paterna): aixé; (materna): sy'yra tigela,(de h): pyky'yra (m); (de m): tykera (m),(paterna): aixé; (materna): sy'yra tigela
primo,(paterno de h): tybyra (quando mais moço); tyky'yra (quando mais velho); (de m): kybyra,ieapyká; nhemonhangaba gerar,(paterno de h): tybyra (quando mais moço); tyky'yra (quando mais velho); (de m): kybyra
sobre,(ponto preciso): 'ari; sosé; (sentido di fuso): 'arybo,(ponto preciso): 'ari; sosé; (sentido di fuso): 'arybo,(ponto preciso): 'ari; sosé; (sentido di fuso): 'arybo
embaixo (de),(ponto preciso): gftyri; gftyrype; (sentido difuso): giiyrybo,itá sosé,(ponto preciso): gftyri; gftyrype; (sentido difuso): giiyrybo
porco,(porco,se,(porco
se3,(pron recipr):,y3,(pron recipr):
quando?2,(referindo,marãtepene?,(referindo
hoje,(rei ao tempo que ainda não chegou): kori; (rei ao tempo já passado): oieí; ieí homem,kori,(rei ao tempo que ainda não chegou): kori; (rei ao tempo já passado): oieí; ieí homem
em,(rel a lugar):,(pron recipr):,(rel a lugar):
oco,(s) ybyia; : ybyi/a,ara'a,(s) ybyia; : ybyi/a
maneta,(s): asyka; : asyk,iara,(s): asyka; : asyk
doente,(s): mara'ara; mba'easybora; : mara'ar; mba'easybor,angaingaíba,(s): mara'ara; mba'easybora; : mara'ar; mba'easybor
sedento,(s): 'useibora; 'useibor/a seguir,"upi (r, s) segundo2 (num ord )",(s): 'useibora; 'useibor/a seguir
tocar1,(tr): atõi; (intr) byk; (= passar a mão): pokok,iybá,(tr): atõi; (intr) byk; (= passar a mão): pokok
pescar,(tr): ekyi (s); (intr): pindaeityk; (pes car com rede): ieporakar,pirá rekoaba,(tr): ekyi (s); (intr): pindaeityk; (pes car com rede): ieporakar
estourar,(tr): mobok; (intr): pok,mombuk,(tr): mobok; (intr): pok
grudar,(tr): moiar; (intr): nhemoiar; po mong (xe),(intr): puk; (tr): mobok,(tr): moiar; (intr): nhemoiar; po mong (xe)
vomitar,(tr): moiebyr; (intr): güe'en vômito,moasy,(tr): moiebyr; (intr): güe'en vômito
igualar,(tr): moioiab; (intr): iakatu igualar,obaiar/a,(tr): moioiab; (intr): iakatu igualar
inchar,(tr): mopungá; moruru; (intr): pungá (xe); ruru (xe),(intr): puk; (tr): mobok,(tr): mopungá; moruru; (intr): pungá (xe); ruru (xe)
ferver,(tr): mopupur; (intr): pupur festa (ritual de comer e beber),mongué,(tr): mopupur; (intr): pupur festa (ritual de comer e beber)
cuspir,(tr): mun (,andub,(tr): mun (
torcer,(tr): pepyr; poká; (torcer como corda): pomombyk; (torcer mão ou pé): mongaraú; (intr): iekundab; ie'ab; (mão ou pé): nhe mongaraú,(intr): puk; (tr): mobok,(tr): pepyr; poká; (torcer como corda): pomombyk; (torcer mão ou pé): mongaraú; (intr): iekundab; ie'ab; (mão ou pé): nhe mongaraú
remar,(tr): pukui; (intr): ygapukui remédio,kokaba,(tr): pukui; (intr): ygapukui remédio
papagaio,(variedades): aiuru; anaká; tiriba; iandaiusu; iendaia; iuruba etc,aka,(variedades): aiuru; anaká; tiriba; iandaiusu; iendaia; iuruba etc
periquito,(variedades): anakã; tu'i; tu'ityryka etc,aka,(variedades): anakã; tu'i; tu'ityryka etc
gaivota,(variedades): aty; gílakagílasu etc galho,aka,(variedades): aty; gílakagílasu etc galho
rato,(variedades): gílabiru; punaré; karu kuoka etc,(variedades): gílabiru; punaré; karu kuoka etc,(variedades): gílabiru; punaré; karu kuoka etc
mosquito,(variedades): iati'ü; marigôi; nhe tlngaruru,(variedades): karapuku; urupé etc coisa,(variedades): iati'ü; marigôi; nhe tlngaruru
rã,(variedades): iu'i; tataka; kotorá etc rabo,potaba (m),(variedades): iu'i; tataka; kotorá etc rabo
coruja,(variedades): kaburé; iakurutu; suin dara etc,u'u,(variedades): kaburé; iakurutu; suin dara etc
macaco,(variedades): ka'i; gfiariba; mbyryki; sagfii; akyky etc,apykaba,(variedades): ka'i; gfiariba; mbyryki; sagfii; akyky etc
cogumelo,(variedades): karapuku; urupé etc coisa,kartlaba,(variedades): karapuku; urupé etc coisa
mosca,(variedades): meru; mberuoby; ietin ga; mutukusu etc,fi,(variedades): meru; mberuoby; ietin ga; mutukusu etc
palmeira,(variedades): pindoba; tukü; pati; pysandó; ieisara; inaiá; karaná; iupati; maraia'yba; karana'yba etc,(variedades): pindoba; tukü; pati; pysandó; ieisara; inaiá; karaná; iupati; maraia'yba; karana'yba etc,(variedades): pindoba; tukü; pati; pysandó; ieisara; inaiá; karaná; iupati; maraia'yba; karana'yba etc
verme,(variedades): sebo'i; turuygíiera; ura; ybyrapeasoka; ybyrasoka; tasoka; iaruma'i; taburaá etc,se,(variedades): sebo'i; turuygíiera; ura; ybyrapeasoka; ybyrasoka; tasoka; iaruma'i; taburaá etc
gavião,(variedades): tagfrató; karakará etc geada,aka,(variedades): tagfrató; karakará etc geada
formiga,"(variedades): tasyba; ysá, akeke; arará, guaiu etc",kartlaba,"(variedades): tasyba; ysá, akeke; arará, guaiu etc"
lagarto,(variedades): teiu; teiugftasu; teiu nhana; senemby; karapopeba; ameresyma; ameiuá etc,aka,(variedades): teiu; teiugftasu; teiu nhana; senemby; karapopeba; ameresyma; ameiuá etc
lá,(vis): ebapó; ilime; (n vis): akfteipe; a'epe lábio,a'epe,(vis): ebapó; ilime; (n vis): akfteipe; a'epe lábio
"esse (s, a, as)",(vis): fil; ebok6ei; ebokiié; ebokilea; eboili; ebo6ing; eboiliba'e; eboilinga; (n vis): a'e; aipó; akó; akiiei estalar (intr),kíiei,(vis): fil; ebok6ei; ebokiié; ebokilea; eboili; ebo6ing; eboiliba'e; eboilinga; (n vis): a'e; aipó; akó; akiiei estalar (intr)
oposto,": obaiar/a (r, s); (s): obaiara (t) oprimir",": obaiar/a (r, s); (s): obaiara (t) oprimir",": obaiar/a (r, s); (s): obaiara (t) oprimir"
velho,: píier/a; umíianja; (s): tuiba'e vencedor,umüan,: píier/a; umíianja; (s): tuiba'e vencedor
rápido,: py'i; apílanja; (adv): sapy'a; esapy'a; korite'i,anhe,: py'i; apílanja; (adv): sapy'a; esapy'a; korite'i
vesgo,": ró; esabang/a (r, s); (s): tesa banga",Amixyr,": ró; esabang/a (r, s); (s): tesa banga"
negro,": un/a (r, s); (s): tapy'yiuna neném",se (= pintar,": un/a (r, s); (s): tapy'yiuna neném"
A todos os homens ama para o bem deles,…Opabĩ abá raûsubi i katurama resé,"Pabẽ abá raûsupa, i angaturãmotaramo",...Opabĩ abá raûsubi i katurama resé
louva,a,moeté,a
"Eis que era costume, então, dar nome às pessoas",Ã tekó a'ereme moreroka,Ko'y moreroka moreroka,Ã tekó a'ereme moreroka
"Eis que era costume, então, batizar",Ã tekó a'ereme moreroka,Ã tekó a'ereme moreroka,Ã tekó a'ereme moreroka
"Eis que era costume, por ocasião disso, pôr nome Assim, puseram como nome dele ""Jesus""",Ã tekó a'ereme moreroka Ké bŷá Îesus nongi seramo,"A'e i xuí pitanga rerasóbo, i 'îasu",Ã tekó a'ereme moreroka Ké bŷá Îesus nongi seramo
"este (s, a, as)",ã; kó; ang; ikó,keygûara,ã; kó; ang; ikó
Ainda estou de pé,A'ã bé,Aîeîuká,A'ã bé
Não! Meu quinhão és tu!,Aã! Xe potaba nde!,Aani! Aîkó nde resé,Aã! Xe potaba nde!
Levantome,A'am,Aîepubuî,Abyr
Eu estou em pé (sem mudar de lugar),A'amĩ,Aîe'amĩ,A'amĩ
Estou em pé (sem me mexer),A'amĩote,A'amĩ,A'amĩote
Fiei o algodão,Aamyniîupoban,Aîmonhang takuare'yma,Aamynyîupoban
Fiei o algodão,Aamynyîupoban,Aîmonhang takuare'yma,Aamynyîupoban
Digo que não,Aan a'é ipó ixé re'a,Ixé na emonani,Aan a'é ipó ixé re'a
"não deve ser, não será assim","aan ipó, aan ipó biã","aan ipó, aan ipó biã","aan ipó, aan ipó biã"
"Não, não os derrotarás","Aan, nd'ereîtyki xóne",Aani! Aîpó n'opoasykyî,"Aan, nd'ereîtyki xóne"
não,aan; aani; na ,aan; aani; na ,aan; aani; na 
experimentar,a'ang (s),(tr): pukui; (intr): ygapukui remédio,a'ang (s)
imitar,a'ang (s),Aîmoa'yrõ,a'ang (s)
medir,a'ang (s),ma'e,a'ang (s)
pronunciar,a'ang (s),nhe'erueru (xe),a'ang (s)
provar,a'ang (s),epiak (s),a'ang (s)
nunca mais,aani xûé ko'yténe,aani xûé ko'yténe,aani xûé ko'yténe
Não! Irriteime,Aani! Aîemoŷrõ,Aani! Aîepyaobok,Aani! Aîemoŷrõ
não há de ser (futuro),aanixûé ipóne,aanixûé ipóne,aanixûé ipóne
Não! Estou bêbado,Aanumẽne! Asabeypó,Aani! Xe ropenhana!,Aanumẽne! Asabeypó
Não! Estou bêbado,Aanumẽne! Asabeypó,Aani! Xe ropenhana!,Aanumẽne! Asabeypó
Teço roupas,Aaópyasab,Aîmobaka,Aaópyasab
Embarquei,A'ar,Aîké,A'ar
Estou a ponto de ir Vou daqui a pouquinho,A'ar apyrĩ  Estou prestes a cair Our apyrĩ  Está já para vir Asó apyri'ĩ,Aûîebétemo asó,A'ar apyrĩ Estou prestes a cair Our apyrĩ Está já para vir Asó apyri'ĩ
Embarco contigo,A'ar nde pupé,T'oúne nde irũ,A'ar nde pupé
Haveria de cair,A'arixûer,Aîureb,A'arixûer
abrir,ab,moebykatã,ab
cortar,ab; mondok; (com instrumento cortan te): kyfi,mbo'ir; moia'ok,ab; mondok; (com instrumento cortan te): kyfi
cabelo,aba,se,aba
alguém,abá,abá,abá
pessoa,abá,abá,abá
Quem mais junto deles foram seus sepultadores?,Abá abépe i pyri i tymbaramo?,Abápe amoaé i pyri i moîáno?,Abá abépe i pyri i tymbaramo?
"Quem mais não o transgride, não jejuando?",Abá abépe nd'oîabyî oîekuakube'yma?,Abá abépe o aîuri oîkoe'ymae'yma?,Abá abépe nd'oîabyî oîekuakube'yma?
"Pois, se um homem guarda seu próprio filho, quanto mais Deus compadecerseá de nós","Abá abiã é o a'yra ogûerekókatu, memetipó Tupã asé raûsubáne","Abá abiã é o a'yra ogûerekókatu, marãpe Tupã asé raûsubá potare'yma?","Abá abiã é o a'yra ogûerekókatu, memetipó Tupã asé raûsubáne"
As doenças da alma do homem com ele saram bem,Abá 'anga mara'ara i pupé opûeîrákatu,Abá rekorama momburu me'enga abé,Abá 'anga mara'ara i pupé opûeîrákatu
As doenças da alma do homem com ela saram bem,Abá 'anga mara'ara i pupé opûeîrákatu,Abá 'anga mara'ara i pupé opûeîrákatu,Abá 'anga mara'ara i pupé opûeîrákatu
estragando as almas dos índios,abá 'anga momoxŷabo,abá rekó momoxysara,abá 'anga momoxŷabo
As almas dos homens morrem ao transgredirem a palavra de Deus,Abá 'anga re'õû nhẽ Tupana nhe'enga abŷápe,Abá rekobé re'õû nhẽ Tupana nhe'enga ra'anga,Abá 'anga re'õû nhẽ Tupana nhe'enga abŷápe
Os homens pecadores mataram São Mateus,Abá angaîpabora São Mateus îukáû,Abá angaîpabora São Mateus îukáû,Abá angaîpabora São Mateus îukáû
Contando os pecados escondidos de alguém para quem não os conhece,Abá angaîpánhemima i kuapare'yma supé mombegûabo,Abá angaîpánhemima i kuapare'yma mombegûabo,Abá angaîpánhemima i kuapare'yma supé mombegûabo
Contando as maldades escondidas de alguém para quem não as conhece,Abá angaîpánhemima i kuapare'yma supé mombegûabo,Abá angaîpánhemima i kuapare'yma supé mombegûabo,Abá angaîpánhemima i kuapare'yma supé mombegûabo
Contando as maldades escondidas de alguém,Abá angaîpánhemima mombegûabo,Mba'erobeté tukutuku potá,Abá angaîpánhemima mombegûabo
O que conta os pecados escondidos de alguém,Abá angaîpánhemima oîmombe'uba'e,Sekónhemima mombegûabo sekónhemima,Abá angaîpánhemima oîmombe'uba'e
Não ia para o céu outrora a alma de nenhum homem?,Abá 'angûera amõ soe'ymi ybakype erimba'e?,Abá 'angûera amõ soe'ymi ybakype erimba'e?,Abá 'angûera amõ soe'ymi ybakype erimba'e?
Não ia para o céu outrora a alma de ninguém?,Abá 'angûera amõ soe'ymi ybakype erimba'e?,Abá 'angûera amõ soe'ymi ybakype erimba'e?,Abá 'angûera amõ soe'ymi ybakype erimba'e?
Ser cordato com um pequeno proceder no mal de alguém,Abá marã sekoagûerĩ resé nherane'yma,Abá marã sekoagûerĩ resé onhemombegûabo,Abá marã sekoagûerĩ resé nherane'yma
Não fazer ataque às pequenas maldades dos homens,Abá marã sekoagûerĩ resé nherane'yma,Eîmoapirõ umẽ abá rekopoxy,Abá marã sekoagûerĩ resé nherane'yma
Arrebentando as coisas de alguém,Abá mba'e mombuka,Abá mba'e mombuka,Abá mba'e mombuka
O homem que esconde algo,Abá mba'e omimba'e,Abá mba'e omondarõba'e,Abá mba'e omimba'e
O homem que comete furto de algo,Abá mba'e resé omondarõba'e,Abá mba'e resé omondarõba'e,Abá mba'e resé omondarõba'e
Invejar as coisas boas de alguém,Abá mba'ekatu moasy,Îandé rapixara mba'ekatu resé îandé moîekosupa,Abá mba'ekatu moasy
Fazendo as pessoas detestarem umas às outras,Abá moîoamotare'ymuká,Abá moingoébo,Abá moîoamotare'ymuká
fazendo os homens ficarem espiando,abá momanhãmanhana,abá resá mo'anga,abá momanhãmanhana
"O que vê o furto de alguém, sem se importar",Abá mondarõ osepîakĩba'e,"Abá mondá osepîakĩba'e, n'i marani",Abá mondarõ osepîakĩba'e
O que vê um homem furtar sem se importar,Abá mondarõ osepîakĩba'e,Abá mondarõ osepîakĩba'e n'oîmoasyî,Abá mondarõ osepîakĩba'e
O homem que come objeto de furto ou que o leva para sua casa,Abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e,Abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e,Abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e
Fazendo as pessoas beberem cauim ou dandolhes de beber,Abá mongagûabo koîpó se'yma,Abá mongagûabo kaûĩ koîpó kamby ka'u,Abá mongagûabo koîpó se'yma
"Fazendo as pessoas beberem cauim ou dandolhes de beber, fazendoas embriagarse","Abá mongagûabo koîpó se'yma, i mondabeypó","Kaûĩ koîpó îukyrûera mongagûabo abá supé, i moîekotebẽmo","Abá mongagûabo koîpó se'yma, i mondabeypó"
"Examinando a armadilha de alguém, tomando o seu conteúdo","Abá mundé supa, i pora rá","Abá îuraragûaîa supa, i py resebé oîar","Abá mundé supa, i pora rá"
